,change,device_norm,ref,hit_keyword,bug_type,date,time
0,ADDED,unknown,part1.txt,Backboardd,,,
1,ADDED,unknown,part1.txt,JetsamEvent,,,
2,ADDED,unknown,part1.txt,Triald,,2025-07-23,09:55:18+07:00
3,ADDED,unknown,part1.txt,aad,,,
4,ADDED,unknown,part1.txt,aad,,2025-07-23,09:55:18+07:00
5,ADDED,unknown,part1.txt,duetexpertd,,2025-07-23,09:55:18+07:00
6,ADDED,unknown,part2.txt,JetsamEvent,,2025-07-23,01:26:59+07:00
7,ADDED,unknown,part2.txt,aad,,2025-07-23,01:26:59+07:00
8,ADDED,unknown,part2.txt,duetexpertd,,2025-07-23,01:26:59+07:00
9,ADDED,unknown,part3.txt,Defender,,,
10,ADDED,unknown,part3.txt,aad,,,
11,ADDED,unknown,part3.txt,suggestions,,,
