,change,device_norm,ref,hit_keyword,bug_type,date,time,category
0,ADDED,unknown,part1.txt,Backboardd,,,,CoreDuet/UI
1,ADDED,unknown,part1.txt,JetsamEvent,,,,Apple_Internal
2,ADDED,unknown,part1.txt,Triald,,2025-07-23,09:55:18+07:00,Apple_Internal
3,ADDED,unknown,part1.txt,aad,,,,Microsoft_Flame
4,ADDED,unknown,part1.txt,aad,,2025-07-23,09:55:18+07:00,Microsoft_Flame
5,ADDED,unknown,part1.txt,duetexpertd,,2025-07-23,09:55:18+07:00,CoreDuet/UI
6,ADDED,unknown,part2.txt,JetsamEvent,,2025-07-23,01:26:59+07:00,Apple_Internal
7,ADDED,unknown,part2.txt,aad,,2025-07-23,01:26:59+07:00,Microsoft_Flame
8,ADDED,unknown,part2.txt,duetexpertd,,2025-07-23,01:26:59+07:00,CoreDuet/UI
9,ADDED,unknown,part3.txt,Defender,,,,Microsoft_Flame
10,ADDED,unknown,part3.txt,aad,,,,Microsoft_Flame
11,ADDED,unknown,part3.txt,suggestions,,,,CoreDuet/UI
