,device,file,token,context
32,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,"t_party"":0,""incident_id"":""8FA042B8-E9B2-4255- AFBE-AE84E91C067D"",""timestamp"":""2025-06-11 06:30:38.00 +0700"",""app_name"":""duetexpertd"",""name"":""duetexpertd""} Date/Time: 2025-06-11 06:28:46.189 +0700 End time: 2025-06-11 06:30:35.923 +0700 OS Version: iPh"
33,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,"id"":""8FA042B8-E9B2-4255- AFBE-AE84E91C067D"",""timestamp"":""2025-06-11 06:30:38.00 +0700"",""app_name"":""duetexpertd"",""name"":""duetexpertd""} Date/Time: 2025-06-11 06:28:46.189 +0700 End time: 2025-06-11 06:30:35.923 +0700 OS Version: iPhone OS 18.5 (Build 22"
34,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,"ostackshots Shared Cache: E232224B-1B02-3466-9BC8-8185CE028303 slid base address 0x19f258000, slide 0x1f258000 Command: duetexpertd Path: /usr/libexec/duetexpertd Resource Coalition: ""com.apple.duetexpertd""(347) On Behalf Of: 4 samples UNKNOWN [31] (4"
35,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,"24B-1B02-3466-9BC8-8185CE028303 slid base address 0x19f258000, slide 0x1f258000 Command: duetexpertd Path: /usr/libexec/duetexpertd Resource Coalition: ""com.apple.duetexpertd""(347) On Behalf Of: 4 samples UNKNOWN [31] (4 samples originated by UNKNOWN "
36,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,"ddress 0x19f258000, slide 0x1f258000 Command: duetexpertd Path: /usr/libexec/duetexpertd Resource Coalition: ""com.apple.duetexpertd""(347) On Behalf Of: 4 samples UNKNOWN [31] (4 samples originated by UNKNOWN [31]) Architecture: arm64e Parent: UNKNOWN "
37,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,"1c38] 1 ??? (ProactiveSupport [^ ] • 0.30.30111:4......1:•.-.0 onln•11 96 l__J Resource Coalition: 5 samples ""com.apple.duetexpertd""(34/) On Behalf Of: 4 samples UNKNOWN [31] (4 samples originated by UNKNOWN [31]) Architecture: arm64e Parent: UNKNOWN "
38,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,[0x1f04aae6c] [0x1f0203500] [0x1f01e9424] [0x1f01e9518] [0x1a9d7c728] [0x1a9d86584] 1 &lt;on behalf of &lt;11:06ll 4G 96duetexpertd.cpu_resource-2025-...62972) [0x1a9fbd5fc]51100) [0x1a9fba79c]+ 50424) [0x1a9fba4f8](libdispatch.dylib + 71464) [0x1a9d7
39,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,31] (originated by UNKNOWN [31])&gt; 1 ??? (libsystem_pthread.dylib + 2724) [0x22c508aa4]Binary Images:0x1006c0000 -??? duetexpertdOx1a0a5b000 -Ox1a16ceddf Foundation&lt;F7AA29E9-C9E3-34CB-8D5B-DD99A037EA42&gt; /usr/libexec/duetexpertd&lt;34DE055D-868
40,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,x1006c0000 -??? duetexpertdOx1a0a5b000 -Ox1a16ceddf Foundation&lt;F7AA29E9-C9E3-34CB-8D5B-DD99A037EA42&gt; /usr/libexec/duetexpertd&lt;34DE055D-8683-380A-9198-C3347211D13D&gt; /System/Library/Frameworks/Foundation.framework/FoundationOx1a1de1000 -Ox1a
41,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,libsqlite3.dylibInternal&lt;7B66E49D-0FE5-394B-ADCA-F5731B03DFDA&gt; /usr/lib/libsqlite3.dylib&lt;4DB33F20-11:06ll 4G 96duetexpertd.cpu_resource-2025-...(CoreData + 51464) [0x1a9fba908](CoreData + 64532) [0x1a9fbdc14](CoreData + 225580) [0x1a9fe512c](
42,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,N [31])&gt; 1 ??? (libsystem_pthread.dylib + 2724) [0x22c508aa4]1 !!!1 ???1 ???1 ???1 ???Binary Images:0x1006c0000 -??? duetexpertdOx1a0a5b000 -Ox1a16ceddf Foundation&lt;F7AA29E9-C9E3-34CB-8D5B-DD99A037EA42&gt; /usr/libexec/duetexpertd&lt;34DE055D-868
43,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,duetexpertd,x1006c0000 -??? duetexpertdOx1a0a5b000 -Ox1a16ceddf Foundation&lt;F7AA29E9-C9E3-34CB-8D5B-DD99A037EA42&gt; /usr/libexec/duetexpertd&lt;34DE055D-8683-380A-9198-C3347211D13D&gt; /System/Library/Frameworks/Foundation.framework/FoundationOx1a1de1000 -Ox1a
